Sample	N_input_reads	N_uniq_mapped	pct_uniq_mapped	pct_map_multiple_loci	pct_map_many_loci	pct_unmap_mismatch	pct_unmap_short	pct_unmap_other	pct_chimera
SRR10600874	24573407	21289761	86.64	8.11	0.01	0.00	5.23	0.00	0.00
SRR10600875	41956555	36385631	86.72	7.94	0.01	0.00	5.32	0.01	0.00
SRR10600877	32727537	27585385	84.29	10.64	0.01	0.00	5.06	0.00	0.00
SRR10600878	31277126	26901303	86.01	7.19	0.01	0.00	6.78	0.00	0.00
SRR10600879	42098294	34315615	81.51	10.35	0.01	0.00	8.12	0.00	0.00
SRR10600880	30213062	25252423	83.58	8.21	0.01	0.00	8.19	0.00	0.00
SRR10600881	19184333	16144950	84.16	8.89	0.01	0.00	6.93	0.00	0.00
SRR10600882	32654458	28164003	86.25	6.58	0.01	0.00	7.15	0.00	0.00
SRR10600883	44083349	36960301	83.84	7.09	0.01	0.00	9.05	0.01	0.00
SRR10600884	61456783	51249720	83.39	5.66	0.01	0.00	10.93	0.01	0.00
SRR10600885	69300503	57454944	82.91	6.31	0.01	0.00	10.76	0.02	0.00
SRR10600888	41331554	34340074	83.08	10.15	0.01	0.00	6.75	0.00	0.00
SRR10600889	20357783	18035542	88.59	5.97	0.01	0.00	5.42	0.00	0.00
SRR10600890	23734958	19241745	81.07	9.23	0.01	0.00	9.70	0.00	0.00
SRR10600892	59920011	48203346	80.45	8.93	0.01	0.00	10.62	0.00	0.00
SRR10600893	73132063	62536948	85.51	7.91	0.01	0.00	6.56	0.01	0.00
SRR10600894	59657268	49416537	82.83	9.68	0.01	0.00	7.47	0.00	0.00
SRR10600896	73353324	65379270	89.13	6.40	0.01	0.00	4.45	0.01	0.00
SRR10600899	30465349	26213360	86.04	8.27	0.01	0.00	5.67	0.00	0.00
SRR10600900	178866416	156146184	87.30	5.60	0.01	0.00	7.09	0.00	0.00
SRR10600901	16418877	14179304	86.36	7.03	0.01	0.00	6.59	0.00	0.00
SRR10600902	51371667	43525489	84.73	9.79	0.01	0.00	5.47	0.00	0.00
SRR10600903	49439438	40728780	82.38	8.31	0.01	0.00	9.29	0.01	0.00
SRR10600904	46044428	38669982	83.98	9.29	0.01	0.00	6.72	0.00	0.00
SRR10600905	65537752	55661312	84.93	8.98	0.01	0.00	6.08	0.00	0.00
SRR10600906	24727129	21000240	84.93	8.98	0.01	0.00	6.08	0.01	0.00
SRR10600907	28634152	24165181	84.39	9.22	0.01	0.00	6.37	0.01	0.00
SRR10600908	26201046	22276610	85.02	9.99	0.01	0.00	4.97	0.01	0.00
SRR10600909	50992703	42342697	83.04	7.83	0.01	0.00	9.12	0.01	0.00
SRR10600910	34898392	30094677	86.24	7.90	0.01	0.00	5.86	0.00	0.00
SRR10600911	41170097	34882137	84.73	9.27	0.01	0.00	5.99	0.00	0.00
SRR10600912	30874500	26712642	86.52	8.56	0.01	0.00	4.90	0.00	0.00
SRR10600913	29892853	25551142	85.48	8.71	0.01	0.00	5.80	0.01	0.00
SRR10600914	43407576	36629790	84.39	8.32	0.01	0.00	7.29	0.00	0.00
SRR10600915	57505290	48181381	83.79	7.17	0.01	0.00	9.03	0.01	0.00
