gene_ID	Entrez	Description	module	description
evm.TU.02.783	NA	phenylalanine_ammonia-lyase_1	5	NA
evm.TU.03.789	NA	Phenylalanine-amonialyase_5	5	NA
evm.TU.10.36	NA	4-coumarate--CoA_ligase_1	5	NA
evm.TU.01.590	NA	long_chain_acyl-CoA_synthetase_1-like	7	NA
evm.TU.03.658	NA	Phenylalanine_ammonia_lyase_3	7	NA
evm.TU.05.144	NA	4-coumarate--CoA_ligase_2	7	4-coumarate:coenzyme A ligase, Flavonoid biosynthesi [Source: Projected from Oryza sativa (Os02g0697400)]
evm.TU.05.2034	NA	long_chain_acyl-CoA_synthetase_4	7	NA
evm.TU.06.1713	NA	trans-cinnamate_4-monooxygenase	8	Cinnamate-4-hydroxylase [Source:Projected from Arabidopsis thaliana (AT2G30490) UniProtKB/TrEMBL;Acc:B1GV49]
evm.TU.03.790	NA	Phenylalanine_ammonia_lyase_4	10	NA
novel_gene_1348_5bd9a17a	NA	Phenylalanine_ammonia_lyase_2	10	NA
evm.TU.07.1592	NA	tyrosine_decarboxylase_3	12	NA
evm.TU.07.1594	NA	tyrosine_decarboxylase_1	12	NA
evm.TU.09.1425	NA	tyrosine_decarboxylase_2	12	NA
evm.TU.09.102	115697755	stearoyl-[acyl-carrier-protein] 9-desaturase, chloroplastic	37	NA
evm.TU.ctgX21.2	115702099	delta(8)-fatty-acid desaturase 1	40	NA
evm.TU.08.955	115694736	fatty acid desaturase 4, chloroplastic-like	NA	NA
novel_gene_4016_5bd9a17a	115698723	stearoyl-[acyl-carrier-protein] 9-desaturase, chloroplastic	NA	NA
evm.TU.10.481	115701196	delta(12)-fatty-acid desaturase FAD2	NA	NA
evm.TU.01.1198	115707010	acyl-lipid (9-3)-desaturase	NA	NA
evm.TU.06.2116	115718446	delta(12)-oleate desaturase-like	NA	NA
evm.TU.06.2117	115719000	delta(12)-fatty-acid desaturase FAD2	NA	NA
evm.TU.06.1677	115720710	acyl-lipid omega-3 desaturase (cytochrome b5), endoplasmic reticulum	NA	NA
evm.TU.01.2186	NA	ornithine_decarboxylase	NA	NA
evm.TU.02.1106	NA	glycylpeptide_N-tetradecanoyltransferase_1	NA	NA
evm.TU.03.643	NA	agmatine_deiminase	NA	NA
evm.TU.04.182	NA	spermidine_synthase_1	NA	NA
evm.TU.04.812	NA	spermidine_hydroxycinnamoyl_transferase-like_3	NA	NA
evm.TU.05.91	NA	spermidine_hydroxycinnamoyl_transferase-like_2	NA	NA
evm.TU.05.98	NA	spermidine_hydroxycinnamoyl_transferase_1	NA	NA
evm.TU.05.101	NA	spermidine_hydroxycinnamoyl_transferase-like_1	NA	NA
evm.TU.08.1195	NA	spermidine_hydroxycinnamoyl_transferase_3	NA	NA
evm.TU.08.1733	NA	arginine_decarboxylase	NA	NA
evm.TU.09.1695	NA	spermidine_hydroxycinnamoyl_transferase_2	NA	NA
evm.TU.10.1035	NA	long_chain_acyl-CoA_synthetase_8	NA	NA
novel_gene_2229_5bd9a17a	NA	spermine_synthase	NA	NA
