gene_ID	Formatted.description	module
evm.TU.09.102	Stearoyl-[acyl-carrier-protein] 9-desaturase (a)	1
novel_gene_4016_5bd9a17a	Stearoyl-[acyl-carrier-protein] 9-desaturase (b)	1
evm.TU.06.1677	Cytochrome b5	1
evm.TU.01.590	Long-chain acyl-CoA synthase 1 like	1
evm.TU.03.658	PAL3	1
evm.TU.05.144	4CL2	1
evm.TU.05.2034	Long-chain acyl-CoA synthase 4	1
evm.TU.09.1695	Spermidine hydroxycinnamoyl-transferase 2	1
evm.TU.10.481	FAD2 (a)	2
evm.TU.01.1198	acyl-lipid (9-3)-desaturase	2
evm.TU.06.2116	delta(12)-oleate desaturase-like	2
evm.TU.03.643	Agmatine deiminase	2
novel_gene_2229_5bd9a17a	Spermine synthase	2
evm.TU.02.783	PAL1	3
evm.TU.03.789	PAL5	3
evm.TU.04.182	Spermidine synthase 1	3
evm.TU.10.36	4CL1	3
evm.TU.ctgX21.2	FAD1	4
evm.TU.06.2117	FAD2 (b)	4
evm.TU.05.98	Spermidine hydroxycinnamoyl-transferase 1	4
evm.TU.05.101	Spermidine hydroxycinnamoyl-transferase-like1	4
evm.TU.01.2186	Ornithine decarboxylase	5
evm.TU.03.790	PAL4	5
evm.TU.07.1592	TYDC3	5
evm.TU.07.1594	TYDC1	5
evm.TU.08.1733	Arginine decarboxylase	5
evm.TU.09.1425	TYDC2	5
novel_gene_1348_5bd9a17a	PAL2	5
evm.TU.02.1106	Glycylpeptide N-tetradecanoyltranferase 1	6
evm.TU.06.1713	TCMO	7
evm.TU.10.1035	Long-chain acyl-CoA synthase 8	7
