gene_ID	coefVar.logTPM	coefVar.TPM	relVar.TPM	relVar.logTPM	rank.CVlogTPM	rank.CVTPM	rank.varTPM	rank.varlogTPM
novel_gene_3490_5bd9a17a	1.6261354077564798	2.373087770491033	114939.94005800076	3.542441628098292	15043	15405	16632	16632
novel_gene_1417_5bd9a17a	0.28895036267231267	0.9318415720163049	9827.361672979001	0.2821177159995803	10236	11785	16631	12946
evm.TU.04.1181	1.320176390073162	2.433088056169866	5825.669912905346	1.6931199296252653	14359	15437	16630	16564
evm.TU.07.160	0.5154766612221425	1.6564860222443556	5579.20148757387	0.6141237073892023	11934	14510	16629	15096
novel_gene_3388_5bd9a17a	0.6504038489098339	1.9051816377169426	5368.32767843991	0.778480927162023	12682	14966	16628	15671
evm.TU.04.1186	0.6147128434223028	2.3405956209820045	5011.07234307078	0.4475423742820791	12538	15381	16627	14231
novel_gene_2254_5bd9a17a	0.331967063167159	1.016030876648774	4826.2644485108	0.3172358552756799	10723	12233	16626	13283
evm.TU.02.2301	0.19266931008930843	0.9536507795150182	4367.766565836441	0.12349035834291999	8433	11925	16625	10914
evm.TU.07.1035	0.5192964905938054	1.9061209387474682	4046.721776147267	0.542659452536411	11963	14968	16624	14793
evm.TU.04.2050	0.3706323183795502	1.4083453332304858	3992.5127291604376	0.33610217242387075	11105	13691	16623	13466
evm.TU.03.611	0.4957156226295828	1.9208545965980544	3471.3848654369062	0.4570155173559058	11762	14996	16622	14296
evm.TU.03.616	0.6004289407008202	1.9147570701473495	3380.005494719616	0.6358277656442006	12463	14982	16621	15186
evm.TU.10.806	0.7912375702465682	2.234848636667266	3237.2506381166854	0.9447645368973645	13034	15312	16620	16014
evm.TU.10.976	0.3446059720197572	1.9022807084312	3048.8559560972267	0.24766954416148915	10860	14957	16619	12600
evm.TU.08.1544	0.6933068911189008	2.0634254060885	3038.0352797905102	0.7840171775693335	12811	15162	16618	15688
novel_gene_894_5bd9a17a	0.30334347842135795	0.89265381486868145	2904.38621843678	0.2539262495948675	10423	11539	16617	12689
evm.TU.09.1557	0.2511392134524553	0.6363288351313866	2708.8297328904164	0.2125663199509017	9659	9459	16616	12225
evm.TU.10.532	0.5459228925178801	1.871023960729087	2626.224812792745	0.5539034962380929	12149	14906	16615	14841
evm.TU.02.2798	0.14119960483961133	0.8490649787161484	2577.075589132013	0.06462274703035206	6876	11239	16614	9488
novel_gene_3491_5bd9a17a	1.6462902274855988	2.2535312551444973	2533.059186443973	2.24372884730294	15090	15325	16613	16619
evm.TU.04.2177	0.272595785157114	0.7400980470827428	2434.062125937611	0.23534455277096594	10016	10395	16612	12474
evm.TU.10.1804	0.6285137953171201	1.4989823551056225	2422.4034980887322	0.7343619010575878	12597	13925	16611	15542
evm.TU.04.1030	1.7226720871532353	2.440651226432773	2413.023526501038	2.1308440964308484	15224	15440	16610	16612
evm.TU.08.541	0.25760399877278406	1.5979045495331392	2387.0170299521224	0.1561837029902459	9793	14311	16609	11455
evm.TU.07.1843	2.449489742783178	2.4494897427831783	2242.189730078173	3.2840305394053573	15753	16351.5	16608	16631
evm.TU.08.1058	0.36921884147181505	1.4166163053854064	2235.2616043125317	0.3072233768028292	11088	13721	16607	13188
evm.TU.06.1922	0.12892295907314336	1.2334601789088853	2219.0737596740564	0.04846317037848861	6347	13173	16606	8756
evm.TU.04.213	0.27059666860989867	1.6646299671060314	2066.005147341565	0.16889183426503526	9986	14534	16605	11642
evm.TU.03.1011	0.6305672387732083	1.8634447921180297	1879.3187215194096	0.6421591158679636	12606	14893	16604	15219
novel_gene_178_5bd9a17a	0.3223697223535457	0.9285713164965193	1861.1205113000237	0.28499596854919285	10616	11754	16603	12985
evm.TU.10.1458	0.6077391087716215	1.525690948313039	1755.2365765333568	0.7284948967870091	12507	13968	16602	15524
evm.TU.10.817	0.9083136956053991	1.3872969992196318	1730.9701034297566	1.334030951494732	13518	13635	16601	16436
evm.TU.02.1246	1.269997544283358	2.4034361638849533	1725.814172408513	1.3779997564343354	14310	15423	16600	16463
evm.TU.05.2020	0.3142097709140693	1.2071491111252313	1704.2507360073428	0.2269913293836712	10538	13059	16599	12381
evm.TU.03.481	0.6675739402901918	1.7658720368510883	1673.3589040150916	0.7348722006167878	12743	14759	16598	15544
evm.TU.04.2318	0.21957210517236694	0.8656029440951493	1666.2513150782443	0.14422405082162768	9092	11364	16597	11257
novel_gene_3225_5bd9a17a	1.3788023618776695	2.4006002368492565	1653.448105892248	1.2535439877162466	14424	15420	16596	16377
evm.TU.02.3054	0.3310471230891368	0.8696130965633547	1597.990437255326	0.30678871074225617	10711	11386	16595	13182
evm.TU.02.1832	0.5446071643127787	1.2102042977340934	1579.7220022853571	0.6558422896547002	12137	13071	16594	15271
evm.TU.04.2310	1.13237604197968	1.889019897016693	1544.9122417742885	1.6385784319373409	13950	14936	16593	16550
evm.TU.08.1613	0.10217880129613469	1.2394929825993124	1534.644181325906	0.027273378897573513	4959	13197	16592	7093
evm.TU.10.1632	0.5108313062556928	0.90222100819185	1529.99764702821	0.659223916086994	11902	11596	16591	15289
evm.TU.04.2003	0.38718806069007455	1.3199157059715572	1516.1653285194905	0.3250572747094003	11225	13440	16590	13373
evm.TU.04.2151	0.11874019623721946	1.1272560833683956	1509.5723613879256	0.040028483406969274	5873	12730	16589	8250
evm.TU.09.1558	0.28144257335154443	0.61948284493151	1505.676692286491	0.24883809738846738	10139	9280	16588	12621
