from	to	r	t	p.value	FDR	significant	group
evm.TU.02.2915	evm.TU.01.100	0.9895106216446394	13.699428485365752	8.223176485051866e-5	0.23302422146704285	FALSE	0
evm.TU.02.2410	evm.TU.01.1003	0.9918521488372509	15.571370612419555	4.965538010411808e-5	0.03300096561719688	FALSE	0
evm.TU.02.2909	evm.TU.01.1003	0.993245951013427	17.120807750233766	3.413585812154465e-5	0.02835836413447322	FALSE	0
evm.TU.04.1842	evm.TU.01.1003	0.9950568102538899	20.039948352505903	1.8296146784865125e-5	0.02835836413447322	FALSE	0
evm.TU.08.1636	evm.TU.01.1003	0.9886573767576776	13.1655519370177	9.612650492535742e-5	0.03992854698337034	FALSE	0
evm.TU.09.122	evm.TU.01.1003	0.9898682955712568	13.942928107573735	7.672856747484352e-5	0.039233200640478624	FALSE	0
evm.TU.10.1984	evm.TU.01.1003	0.9946801391869343	19.31197433211428	2.1188050065209934e-5	0.02835836413447322	FALSE	0
novel_gene_550_5bd9a17a	evm.TU.01.1003	0.9932509029493979	17.127151637461523	3.408587738143147e-5	0.02835836413447322	FALSE	0
evm.TU.07.88	evm.TU.01.1006	0.9897290013776701	13.84659505620859	7.884917885080095e-5	0.05205014369657397	FALSE	0
evm.TU.09.1370	evm.TU.01.1006	0.9896400213431348	13.786072599705173	8.021888638208645e-5	0.05205014369657397	FALSE	0
evm.TU.09.1438	evm.TU.01.1006	0.9935389660122482	17.508604111990415	3.124129124150984e-5	0.05205014369657397	FALSE	0
evm.TU.06.1787	evm.TU.01.1013	0.9936268163668763	17.63003401043478	3.039838656798412e-5	0.05047652089613763	FALSE	0
evm.TU.10.2043	evm.TU.01.1013	0.9876993345277274	12.633250475582974	1.1301448603200903e-4	0.063045046444033	FALSE	0
novel_gene_2535_5bd9a17a	evm.TU.01.1013	0.9950165362976677	19.958201108157155	1.8595241885624934e-5	0.05047652089613763	FALSE	0
novel_gene_2935_5bd9a17a	evm.TU.01.1013	0.9890486242321463	13.402647590528524	8.9621116578751e-5	0.063045046444033	FALSE	0
evm.TU.01.1153	evm.TU.01.1019	0.9874048519659716	12.48189260654155	1.1847879900046624e-4	0.006279801355438759	TRUE	0
evm.TU.01.1914	evm.TU.01.1019	0.9879538222267282	12.768470028555086	1.0839579279333881e-4	0.006279801355438759	TRUE	0
evm.TU.01.2768	evm.TU.01.1019	0.990780448276448	14.626514211263538	6.35541847044966e-5	0.006279801355438759	TRUE	0
evm.TU.01.517	evm.TU.01.1019	0.9955769193148881	21.193766651794558	1.465109916766611e-5	0.005987436494018529	TRUE	0
evm.TU.01.538	evm.TU.01.1019	0.9926738990082566	16.431682389687655	4.0155515630176155e-5	0.005987436494018529	TRUE	0
evm.TU.01.863	evm.TU.01.1019	0.9930690138991822	16.898600704095145	3.594568758494789e-5	0.005987436494018529	TRUE	0
