Query_ID	Subject_ID	Pct_ID	Length	Mismatches	Gap_open	Query_start	Query_end	Subject_start	Subject_end	e-value	BitScore	Pct_positive_matches	Subject_FullName
cds.evm.model.02.983	GEML5_ARATH	59.574	47	13	2	15	60	15	56	2.57e-07	48.1	65.96	GEML5_ARATH GEM-like protein 5
cds.evm.model.01.262	CAMT_POPTM	88.333	60	7	0	1	60	1	60	1.27e-32	114	90.00	CAMT_POPTM Caffeoyl-CoA O-methyltransferase
cds.evm.model.05.1191	Y5133_ARATH	50.980	51	21	1	10	60	4	50	6.02e-09	53.1	74.51	Y5133_ARATH BTB/POZ domain-containing protein At5g41330
cds.novel_model_7212_5bd9a17a	HIP46_ARATH	40.984	61	35	1	1	60	1	61	1.46e-08	50.8	67.21	HIP46_ARATH Heavy metal-associated isoprenylated plant protein 46 {ECO:0000303|PubMed:21072340, ECO:0000303|PubMed:23368984}
cds.evm.model.06.1951	MPK3_ARATH	76.190	42	10	0	19	60	4	45	2.64e-18	79.0	92.86	MPK3_ARATH Mitogen-activated protein kinase 3 {ECO:0000303|PubMed:8282107}
cds.evm.model.06.119.1.5bd9b139	AROD5_ARATH	44.643	56	31	0	5	60	3	58	4.75e-09	53.1	66.07	AROD5_ARATH Arogenate dehydratase 5, chloroplastic {ECO:0000303|PubMed:17726025}
cds.evm.model.06.119	AROD5_ARATH	44.643	56	31	0	5	60	3	58	4.75e-09	53.1	66.07	AROD5_ARATH Arogenate dehydratase 5, chloroplastic {ECO:0000303|PubMed:17726025}
cds.evm.model.01.540	PLIP3_ARATH	81.034	58	11	0	3	60	263	320	1.22e-26	103	89.66	PLIP3_ARATH Phospholipase A1 PLIP3, chloroplastic {ECO:0000305}
cds.evm.model.01.276	ORYB_ORYSJ	57.143	42	17	1	18	58	15	56	1.33e-06	46.2	66.67	ORYB_ORYSJ Oryzain beta chain
cds.evm.model.01.276.1.5bd9b134	ORYB_ORYSJ	57.143	42	17	1	18	58	15	56	1.33e-06	46.2	66.67	ORYB_ORYSJ Oryzain beta chain
cds.evm.model.04.180	ML423_ARATH	45.098	51	27	1	8	58	5	54	2.02e-06	45.1	60.78	ML423_ARATH MLP-like protein 423
cds.evm.model.02.2416	MCTP7_ARATH	71.667	60	17	0	1	60	3	62	3.75e-26	102	91.67	MCTP7_ARATH Multiple C2 domain and transmembrane region protein 7 {ECO:0000305}
cds.evm.model.04.2441	ICI_LINUS	55.357	56	24	1	4	59	4	58	4.31e-16	67.8	76.79	ICI_LINUS Proteinase inhibitor
cds.evm.model.01.623.1.5bd9b134	METK5_VITVI	100.000	60	0	0	1	60	1	60	6.99e-37	129	100.00	METK5_VITVI S-adenosylmethionine synthase 5
cds.evm.model.01.623	METK5_VITVI	100.000	60	0	0	1	60	1	60	6.99e-37	129	100.00	METK5_VITVI S-adenosylmethionine synthase 5
cds.novel_model_4855_5bd9a17a	SRK_ARATH	36.842	57	35	1	3	59	279	334	4.02e-10	56.2	56.14	SRK_ARATH G-type lectin S-receptor-like serine/threonine-protein kinase SRK
cds.novel_model_4856_5bd9a17a.1.5bd9b13a	Y4119_ARATH	60.000	40	16	0	21	60	776	815	1.30e-10	57.8	75.00	Y4119_ARATH G-type lectin S-receptor-like serine/threonine-protein kinase At4g11900
cds.evm.model.04.1155	ASO_CUCMA	44.231	52	29	0	9	60	14	65	4.30e-09	53.5	65.38	ASO_CUCMA L-ascorbate oxidase
cds.novel_model_900_5bda875f	LYK5_ARATH	46.296	54	26	2	8	59	12	64	2.59e-07	48.5	61.11	LYK5_ARATH Protein LYK5
cds.evm.model.09.1425	TYDC2_PAPSO	74.545	55	14	0	6	60	13	67	5.56e-26	101	94.55	TYDC2_PAPSO Tyrosine/DOPA decarboxylase 2
cds.evm.model.10.2004	AL2B4_ARATH	62.745	51	19	0	10	60	413	463	3.56e-19	82.0	88.24	AL2B4_ARATH Aldehyde dehydrogenase family 2 member B4, mitochondrial
cds.novel_model_3512_5bd9a17a	TGA1_ARATH	56.250	64	22	3	1	58	1	64	2.81e-14	67.8	71.88	TGA1_ARATH Transcription factor TGA1
cds.evm.model.01.2954	JAL3_ARATH	70.909	55	16	0	1	55	9	63	3.06e-21	87.8	83.64	JAL3_ARATH Jacalin-related lectin 3
cds.evm.model.01.2954	JAL3_ARATH	63.043	46	16	1	15	59	448	493	1.56e-09	54.7	69.57	JAL3_ARATH Jacalin-related lectin 3
cds.evm.model.01.2954	JAL3_ARATH	43.137	51	29	0	9	59	244	294	2.72e-09	53.9	68.63	JAL3_ARATH Jacalin-related lectin 3
cds.evm.model.07.1706	ITH5_CUCMA	51.786	56	27	0	5	60	5	60	9.26e-15	64.3	67.86	ITH5_CUCMA Inhibitor of trypsin and hageman factor
